age,marital,housing,contact,month,duration,pdays,previous,poutcome,y
25,3,0,2,2,170,-1,0,4,1
25,3,0,1,10,386,-1,0,4,1
30,2,1,1,9,83,-1,0,4,0
22,3,0,1,2,65,-1,0,4,0
39,2,0,1,2,69,-1,0,4,0
46,1,0,3,7,564,-1,0,4,0
31,1,1,1,6,588,-1,0,4,0
45,2,0,1,2,113,-1,0,4,0
32,2,1,3,9,16,-1,0,4,0
36,2,0,1,6,779,-1,0,4,0
51,3,1,1,9,281,266,6,1,0
34,3,0,1,2,1877,-1,0,4,1
24,3,0,3,12,51,-1,0,4,0
45,3,0,1,6,32,-1,0,4,0
32,3,0,2,4,176,288,3,1,0
77,1,0,1,1,161,-1,0,4,1
41,2,1,1,10,187,-1,0,4,0
37,2,1,3,9,24,-1,0,4,0
43,2,1,3,9,67,-1,0,4,0
48,2,1,1,9,85,168,2,1,0
27,3,1,3,9,317,-1,0,4,0
33,3,0,1,2,236,-1,0,4,0
29,3,1,1,9,54,345,2,1,0
34,3,0,1,4,71,-1,0,4,0
52,2,1,1,4,489,-1,0,4,1
60,2,0,3,7,39,-1,0,4,0
32,1,0,1,2,204,-1,0,4,0
32,3,1,1,6,455,-1,0,4,0
56,1,1,3,9,86,-1,0,4,0
31,3,1,1,10,190,-1,0,4,0
42,2,1,3,9,280,-1,0,4,0
35,2,0,1,2,588,-1,0,4,0
56,2,0,3,7,45,-1,0,4,0
48,2,1,1,6,168,-1,0,4,0
46,2,1,1,5,194,436,1,2,0
37,3,1,3,9,103,-1,0,4,0
41,2,1,3,9,333,-1,0,4,0
36,3,1,1,6,102,-1,0,4,0
45,1,1,3,6,92,-1,0,4,0
55,2,0,1,4,213,-1,0,4,0
39,2,0,3,9,289,-1,0,4,0
35,1,0,1,2,77,-1,0,4,0
55,2,0,1,7,324,90,2,3,1
55,2,1,1,5,84,183,3,1,0
27,3,0,1,5,168,-1,0,4,0
34,2,1,1,1,380,-1,0,4,0
34,2,0,3,11,10,-1,0,4,0
25,3,1,3,9,199,-1,0,4,0
41,3,0,3,9,35,-1,0,4,0
43,2,1,3,9,82,-1,0,4,0
28,3,0,1,11,676,146,2,1,1
31,3,1,3,7,455,-1,0,4,0
78,2,0,2,8,80,-1,0,4,0
45,1,1,1,5,549,-1,0,4,0
48,2,0,3,9,135,-1,0,4,0
32,3,1,1,6,412,-1,0,4,0
42,2,0,3,7,101,-1,0,4,0
37,3,0,1,5,253,-1,0,4,0
40,3,1,1,1,272,335,4,2,0
32,2,1,1,6,84,-1,0,4,0
42,2,0,1,10,135,-1,0,4,0
43,2,1,1,6,166,-1,0,4,0
44,2,1,1,6,18,-1,0,4,0
37,2,1,1,9,147,347,1,1,0
37,2,0,3,7,63,-1,0,4,0
37,2,1,1,10,65,119,1,1,0
28,3,1,1,4,194,-1,0,4,0
32,3,0,1,6,333,-1,0,4,0
34,3,1,1,9,14,-1,0,4,0
40,1,0,3,7,140,-1,0,4,0
34,2,1,3,7,109,-1,0,4,0
34,2,1,1,6,61,-1,0,4,0
34,2,1,2,10,377,7,4,3,0
37,3,1,1,4,96,271,2,2,0
36,2,1,1,9,152,347,1,1,0
56,2,1,1,7,382,-1,0,4,1
49,2,1,2,6,97,-1,0,4,0
33,2,1,1,6,543,-1,0,4,0
30,3,0,1,10,240,-1,0,4,0
36,2,0,3,7,48,-1,0,4,0
23,3,0,1,7,471,-1,0,4,0
57,1,1,1,6,354,-1,0,4,0
27,3,1,3,9,435,-1,0,4,0
38,2,0,1,10,152,-1,0,4,0
42,2,0,1,1,285,-1,0,4,0
75,2,0,2,1,185,181,2,3,1
34,3,1,1,9,301,88,2,3,0
48,2,0,1,2,273,-1,0,4,0
35,3,1,1,2,768,141,3,1,1
39,1,1,1,10,1337,126,1,1,0
29,3,0,2,1,403,-1,0,4,1
45,3,1,1,10,139,-1,0,4,0
42,2,1,1,6,196,-1,0,4,0
29,2,1,1,6,115,61,1,1,0
38,3,1,1,4,60,271,1,1,0
56,2,0,1,2,17,-1,0,4,0
36,3,1,1,2,141,-1,0,4,0
25,3,1,3,7,95,-1,0,4,0
38,2,1,1,9,10,373,1,2,0
57,2,0,1,10,198,-1,0,4,0
31,2,0,1,2,220,-1,0,4,0
42,2,1,1,2,654,-1,0,4,1
45,2,0,1,2,71,-1,0,4,0
30,2,1,1,9,256,351,2,1,0
49,2,1,2,6,834,-1,0,4,0
49,2,0,1,2,151,-1,0,4,0
53,2,1,1,6,20,-1,0,4,0
37,2,1,3,9,178,-1,0,4,0
49,2,0,3,9,59,-1,0,4,0
41,2,0,1,2,111,-1,0,4,0
54,2,1,1,10,186,-1,0,4,0
32,3,1,3,9,227,-1,0,4,0
33,2,0,1,9,297,-1,0,4,0
33,2,1,1,1,210,242,1,2,0
36,2,1,1,9,9,-1,0,4,0
35,2,1,1,12,112,62,6,2,0
52,2,0,1,2,112,-1,0,4,0
40,2,0,3,7,222,-1,0,4,0
44,3,1,1,9,195,351,10,1,0
45,3,1,1,6,768,91,5,3,0
30,3,0,1,5,123,-1,0,4,0
48,1,0,1,2,145,-1,0,4,0
33,2,1,1,1,124,308,2,2,0
57,2,1,3,9,216,-1,0,4,0
57,2,0,3,7,69,-1,0,4,0
51,2,1,1,6,168,-1,0,4,0
34,3,1,1,6,483,-1,0,4,0
50,2,0,1,10,690,-1,0,4,0
44,2,0,1,2,125,-1,0,4,0
27,2,1,3,7,344,-1,0,4,0
50,2,1,3,9,673,-1,0,4,0
36,2,1,1,5,60,250,1,2,0
42,2,1,3,9,247,-1,0,4,0
32,3,0,1,9,123,-1,0,4,0
42,2,1,1,6,144,-1,0,4,0
43,2,0,1,9,9,172,5,1,0
31,2,1,1,4,155,-1,0,4,0
32,2,0,1,2,134,-1,0,4,0
55,1,0,1,6,221,-1,0,4,0
58,2,1,1,4,84,265,2,1,0
46,2,0,1,2,71,-1,0,4,0
55,2,1,3,9,246,-1,0,4,0
34,2,0,1,6,361,-1,0,4,0
28,3,0,1,2,119,-1,0,4,0
42,1,1,1,6,375,-1,0,4,0
29,3,0,1,6,1097,-1,0,4,1
54,2,1,1,6,97,-1,0,4,0
32,3,0,1,2,181,-1,0,4,0
39,3,0,1,4,83,-1,0,4,0
53,2,0,1,6,180,-1,0,4,0
58,2,0,1,2,543,78,2,1,0
40,2,1,3,9,373,-1,0,4,0
29,3,1,3,9,230,-1,0,4,0
33,2,1,1,6,83,-1,0,4,0
38,3,1,2,6,58,-1,0,4,0
56,1,0,1,6,88,-1,0,4,0
40,2,1,1,7,297,28,3,1,0
24,3,1,1,9,487,-1,0,4,1
46,2,0,3,7,29,-1,0,4,0
35,2,1,1,10,484,-1,0,4,0
35,3,1,1,6,262,-1,0,4,0
34,2,1,3,9,644,-1,0,4,0
35,2,0,1,2,699,79,1,1,0
38,3,0,1,2,247,-1,0,4,0
50,2,0,1,10,49,-1,0,4,0
51,1,1,1,9,341,-1,0,4,0
59,2,0,3,9,64,-1,0,4,0
32,2,1,1,1,121,-1,0,4,0
37,3,1,3,7,98,-1,0,4,0
42,1,0,3,9,88,-1,0,4,0
40,2,0,3,7,197,-1,0,4,0
28,3,1,3,9,331,-1,0,4,0
47,2,1,3,7,83,-1,0,4,0
27,2,1,3,9,138,-1,0,4,0
41,2,1,1,6,312,-1,0,4,0
34,2,0,1,2,120,1,6,3,1
50,2,1,1,2,526,-1,0,4,1
47,2,1,3,9,211,-1,0,4,0
53,2,0,1,2,62,-1,0,4,0
53,1,1,1,6,135,-1,0,4,0
47,2,0,1,2,101,-1,0,4,0
49,1,1,1,6,988,-1,0,4,1
29,2,0,1,5,451,-1,0,4,0
45,1,1,3,9,1030,-1,0,4,1
38,2,1,1,6,1484,-1,0,4,1
32,2,1,1,1,317,-1,0,4,1
70,1,0,1,9,445,-1,0,4,0
65,1,0,1,7,383,188,5,1,0
56,2,1,2,6,605,-1,0,4,0
35,2,1,1,6,330,-1,0,4,0
56,2,0,1,6,171,-1,0,4,0
56,2,0,1,6,442,-1,0,4,0
49,2,1,1,1,772,-1,0,4,1
38,2,1,3,9,249,-1,0,4,0
35,2,1,3,9,357,-1,0,4,0
38,2,0,1,10,147,-1,0,4,0
49,2,1,1,9,199,167,1,1,0
55,2,0,1,5,271,-1,0,4,0
43,3,1,1,6,783,-1,0,4,0
43,2,0,1,2,472,-1,0,4,0
25,3,1,1,9,223,89,2,1,1
30,2,1,3,9,395,-1,0,4,0
46,2,0,1,4,56,-1,0,4,0
50,2,0,3,7,641,-1,0,4,0
35,2,0,1,9,429,164,2,1,1
26,3,0,3,9,113,-1,0,4,0
45,2,0,3,7,11,-1,0,4,0
37,2,0,1,4,157,-1,0,4,0
60,3,0,1,6,79,-1,0,4,0
38,2,0,1,2,178,1,1,3,1
47,2,1,3,7,168,-1,0,4,0
33,2,0,1,10,425,462,1,1,0
51,2,0,1,10,162,-1,0,4,0
35,3,1,1,6,799,-1,0,4,1
35,2,0,1,3,1370,209,3,3,1
48,3,1,3,9,357,-1,0,4,0
37,2,0,1,6,22,-1,0,4,0
29,3,1,1,1,215,321,3,2,0
34,2,1,1,6,56,-1,0,4,0
32,2,1,1,6,1017,-1,0,4,1
30,3,0,1,1,298,-1,0,4,1
47,1,0,3,9,126,-1,0,4,0
33,2,0,3,12,9,-1,0,4,0
33,3,1,1,4,8,254,5,1,0
63,2,0,1,11,201,183,1,3,0
51,1,0,1,9,106,-1,0,4,0
41,2,1,1,10,164,176,1,1,0
56,2,0,1,4,97,-1,0,4,0
60,3,0,1,6,151,-1,0,4,0
41,3,1,3,9,96,-1,0,4,0
37,3,1,1,1,555,-1,0,4,0
36,3,1,1,9,270,347,1,1,0
57,2,0,1,6,339,-1,0,4,0
55,2,0,1,12,328,94,2,3,1
44,2,1,3,9,159,-1,0,4,0
47,2,1,1,9,323,364,1,1,0
31,2,1,1,1,342,-1,0,4,0
35,2,1,1,10,180,-1,0,4,0
39,2,0,1,6,60,-1,0,4,0
50,2,0,1,10,223,96,2,1,0
29,2,1,1,9,1434,356,4,1,0
30,3,1,3,9,30,-1,0,4,0
46,2,1,3,9,134,-1,0,4,0
27,3,0,1,4,10,-1,0,4,0
48,1,0,1,1,397,-1,0,4,1
26,3,1,1,9,620,-1,0,4,0
36,3,0,1,10,6,-1,0,4,0
42,2,1,1,9,209,-1,0,4,0
50,2,1,3,9,419,-1,0,4,0
49,2,1,1,10,283,-1,0,4,0
45,2,0,1,2,188,-1,0,4,0
23,3,0,1,12,267,-1,0,4,0
38,3,1,1,1,196,-1,0,4,0
32,3,1,1,1,245,149,2,1,0
60,3,0,1,2,323,-1,0,4,1
30,2,1,1,10,1065,183,1,2,0
58,2,0,3,7,138,-1,0,4,0
60,2,0,1,7,207,-1,0,4,0
38,2,0,3,7,456,-1,0,4,0
51,2,1,1,2,261,-1,0,4,0
42,2,1,1,9,80,308,4,1,0
30,3,1,1,9,131,363,9,1,0
40,2,1,3,7,94,-1,0,4,0
37,2,1,1,9,567,275,4,1,1
53,1,1,3,9,153,-1,0,4,0
27,3,1,1,9,109,-1,0,4,0
39,2,1,1,1,53,325,1,1,0
39,2,1,3,7,77,-1,0,4,0
59,2,0,2,8,234,-1,0,4,1
37,2,1,2,9,121,341,4,1,0
41,2,1,1,6,155,-1,0,4,0
45,2,0,1,1,108,-1,0,4,0
48,2,0,3,7,159,-1,0,4,0
48,2,1,3,9,208,-1,0,4,0
32,2,0,1,9,215,-1,0,4,0
35,2,1,3,9,597,-1,0,4,0
33,3,1,1,4,505,260,1,2,0
28,3,1,3,7,380,-1,0,4,0
64,2,0,1,8,120,-1,0,4,0
35,2,0,1,2,106,-1,0,4,0
33,2,1,1,9,332,358,2,1,0
41,2,1,3,9,221,-1,0,4,0
34,2,1,1,7,80,-1,0,4,0
37,3,0,1,9,60,87,1,3,0
38,2,1,2,9,212,-1,0,4,0
39,2,1,1,1,493,-1,0,4,0
35,1,1,1,10,98,-1,0,4,0
28,3,0,1,6,681,-1,0,4,1
27,3,0,1,6,203,-1,0,4,0
48,2,0,1,10,157,-1,0,4,0
50,2,0,3,7,287,-1,0,4,0
45,2,1,1,2,159,-1,0,4,0
41,2,1,3,9,125,-1,0,4,0
39,2,0,1,6,202,-1,0,4,0
44,2,1,2,9,37,303,1,1,0
54,2,0,1,5,161,98,2,1,1
49,2,0,1,2,72,-1,0,4,0
34,3,0,1,4,342,-1,0,4,0
75,1,1,1,10,262,183,1,1,1
42,2,0,1,2,325,-1,0,4,0
53,2,0,2,2,223,-1,0,4,0
49,1,0,1,6,1212,-1,0,4,1
31,3,0,1,2,319,-1,0,4,0
45,3,0,1,5,182,-1,0,4,0
39,2,1,1,6,330,-1,0,4,0
46,2,1,1,10,514,-1,0,4,0
42,1,1,3,9,213,-1,0,4,0
37,2,1,1,9,551,351,1,1,0
26,3,1,1,1,472,-1,0,4,0
37,3,1,1,1,140,327,2,1,0
36,3,1,3,9,142,-1,0,4,0
29,3,1,3,7,135,-1,0,4,0
36,2,1,3,9,293,-1,0,4,0
26,2,1,3,9,107,-1,0,4,0
32,2,1,3,9,127,-1,0,4,0
40,2,1,1,10,1816,-1,0,4,0
53,2,0,1,4,200,-1,0,4,0
29,2,1,1,9,418,-1,0,4,0
34,3,1,1,6,387,-1,0,4,0
43,2,0,1,9,156,337,3,1,0
56,2,0,1,6,121,-1,0,4,0
55,1,0,3,7,108,-1,0,4,0
31,2,1,1,9,47,-1,0,4,0
27,3,1,1,1,16,322,4,2,0
36,2,1,1,10,54,-1,0,4,0
44,2,1,1,2,265,-1,0,4,0
37,1,1,3,9,168,-1,0,4,0
30,3,1,1,9,115,-1,0,4,0
42,3,0,1,2,31,-1,0,4,0
30,2,1,2,6,279,-1,0,4,1
62,2,0,1,12,28,-1,0,4,0
24,2,1,1,1,369,-1,0,4,0
31,2,1,3,9,247,-1,0,4,0
66,2,0,1,1,155,-1,0,4,0
47,2,0,1,6,89,-1,0,4,0
39,2,1,1,10,180,-1,0,4,0
35,2,1,1,10,854,-1,0,4,1
35,1,1,1,1,46,-1,0,4,0
27,2,1,3,9,266,-1,0,4,0
32,2,1,1,9,321,-1,0,4,0
44,2,0,1,2,99,-1,0,4,0
42,2,1,3,9,147,-1,0,4,0
34,3,0,1,1,430,-1,0,4,1
25,3,0,1,6,264,-1,0,4,0
40,3,0,1,6,156,-1,0,4,0
43,1,0,1,9,118,102,2,1,0
55,2,0,3,9,343,-1,0,4,0
50,2,1,1,2,226,-1,0,4,0
45,1,0,3,7,5,-1,0,4,0
35,1,1,1,10,138,-1,0,4,0
32,2,1,1,12,185,99,5,3,1
59,2,0,2,4,722,99,4,1,0
34,2,1,3,9,748,-1,0,4,0
39,2,1,3,9,142,-1,0,4,0
40,3,1,1,10,523,-1,0,4,0
36,3,1,3,7,8,-1,0,4,0
40,2,1,1,10,153,-1,0,4,0
55,2,1,3,9,210,-1,0,4,0
38,2,1,1,6,121,-1,0,4,0
61,2,0,1,8,212,-1,0,4,1
41,2,1,3,9,253,-1,0,4,0
57,2,1,3,9,139,-1,0,4,0
48,2,1,3,9,71,-1,0,4,0
77,2,0,2,9,421,92,2,3,1
35,2,1,3,9,199,-1,0,4,0
54,2,1,3,9,108,-1,0,4,0
37,3,1,3,9,247,-1,0,4,0
56,3,1,2,6,236,-1,0,4,0
40,2,1,1,4,97,196,5,1,0
40,2,0,1,6,109,-1,0,4,0
54,2,1,1,7,112,-1,0,4,0
55,2,1,3,7,15,-1,0,4,0
55,1,1,1,6,502,-1,0,4,0
52,2,1,3,9,30,-1,0,4,0
55,3,1,3,7,193,-1,0,4,0
33,2,1,1,2,347,-1,0,4,0
52,2,1,3,9,468,-1,0,4,0
33,1,1,3,9,148,-1,0,4,0
53,2,0,2,8,295,91,2,3,1
46,2,0,1,2,388,-1,0,4,1
44,3,1,1,2,1735,-1,0,4,1
48,1,1,3,9,339,-1,0,4,0
50,2,1,1,9,172,370,1,1,0
34,3,1,1,10,117,-1,0,4,0
38,3,0,3,7,587,-1,0,4,0
42,3,1,1,10,501,-1,0,4,0
32,3,0,1,2,203,84,1,1,0
58,2,1,2,6,282,-1,0,4,0
31,2,0,1,2,110,-1,0,4,0
19,3,0,1,6,104,-1,0,4,1
41,2,0,1,11,231,-1,0,4,0
31,2,1,3,9,378,-1,0,4,0
52,3,0,1,6,193,-1,0,4,0
42,1,1,3,7,110,-1,0,4,0
41,3,1,1,9,92,-1,0,4,0
30,3,0,1,7,1407,-1,0,4,1
38,2,1,1,4,168,212,2,1,0
32,2,1,1,6,738,-1,0,4,0
52,2,1,1,4,220,63,5,1,1
48,1,1,3,9,89,-1,0,4,0
36,2,1,1,6,30,-1,0,4,0
45,1,0,1,1,103,325,4,1,0
34,2,1,3,7,70,-1,0,4,0
36,2,1,1,1,904,-1,0,4,1
34,2,1,1,9,159,367,2,2,0
61,2,0,1,12,336,81,2,2,0
54,2,0,3,7,220,-1,0,4,0
50,2,0,2,10,238,-1,0,4,0
43,1,1,1,10,585,191,4,1,0
47,2,0,1,2,293,-1,0,4,0
45,2,1,3,9,68,-1,0,4,0
57,2,0,3,7,97,-1,0,4,0
27,2,1,3,9,1713,-1,0,4,0
49,1,0,1,6,218,-1,0,4,0
43,2,1,1,9,109,360,2,1,0
40,2,1,2,10,661,-1,0,4,0
32,3,1,1,9,145,-1,0,4,0
58,2,1,2,9,54,-1,0,4,0
34,3,1,1,1,111,-1,0,4,0
46,1,1,3,9,566,-1,0,4,0
29,2,0,1,7,136,-1,0,4,0
52,2,0,1,2,273,-1,0,4,0
45,2,0,1,7,160,-1,0,4,0
26,3,0,1,6,76,-1,0,4,0
40,2,0,1,2,44,-1,0,4,0
41,2,1,3,9,239,-1,0,4,0
47,3,0,1,6,250,181,4,3,1
27,3,0,1,6,792,-1,0,4,0
27,2,1,1,6,198,-1,0,4,0
48,2,1,3,9,73,-1,0,4,0
49,2,0,1,2,157,-1,0,4,0
35,2,1,1,6,90,-1,0,4,0
47,2,0,1,4,236,-1,0,4,0
54,2,0,1,6,118,-1,0,4,0
39,3,0,2,10,40,-1,0,4,0
28,3,1,1,1,346,-1,0,4,0
54,2,0,3,7,200,-1,0,4,0
34,2,1,1,1,187,332,3,2,0
63,2,0,1,12,113,80,1,1,0
42,2,1,3,9,192,-1,0,4,0
43,3,0,3,9,92,-1,0,4,0
37,2,1,1,9,682,85,7,3,0
55,2,0,1,2,139,-1,0,4,0
43,3,0,1,2,501,-1,0,4,1
41,2,0,1,6,651,-1,0,4,1
47,1,1,1,2,405,-1,0,4,0
34,2,1,3,9,350,-1,0,4,0
28,3,0,1,1,125,-1,0,4,0
36,2,1,1,9,36,-1,0,4,0
50,2,1,1,10,35,176,1,1,0
35,2,1,3,9,389,-1,0,4,0
40,2,1,1,5,194,247,1,1,0
26,3,0,1,5,168,-1,0,4,0
36,1,1,3,7,347,-1,0,4,0
59,2,0,1,5,3025,-1,0,4,0
28,3,0,1,8,83,-1,0,4,0
46,2,1,3,9,332,-1,0,4,0
50,2,0,1,2,219,-1,0,4,0
53,2,1,1,1,427,150,1,1,0
81,2,0,1,2,65,-1,0,4,0
35,1,1,1,9,192,-1,0,4,0
58,2,0,1,2,155,-1,0,4,0
44,2,1,1,9,161,-1,0,4,0
38,2,1,1,6,533,-1,0,4,0
49,2,0,1,4,19,175,2,2,0
33,3,0,1,4,193,176,8,1,0
29,2,1,1,6,819,-1,0,4,0
28,3,0,1,1,278,-1,0,4,1
31,2,1,2,9,211,-1,0,4,0
33,3,0,1,5,617,-1,0,4,0
52,2,1,1,6,61,-1,0,4,0
43,1,1,1,6,197,-1,0,4,0
32,3,1,1,9,34,-1,0,4,0
36,2,1,1,6,95,-1,0,4,0
41,2,1,3,7,147,-1,0,4,0
43,2,0,1,6,668,-1,0,4,0
45,2,0,3,7,87,-1,0,4,0
39,2,0,1,6,405,-1,0,4,0
41,2,1,3,9,83,-1,0,4,0
31,2,0,1,7,115,-1,0,4,0
37,3,1,1,6,108,-1,0,4,0
28,2,0,1,5,113,-1,0,4,0
47,2,1,1,2,58,382,1,1,0
37,2,0,1,2,148,-1,0,4,0
60,1,1,1,5,188,261,2,1,0
43,1,1,2,6,75,-1,0,4,0
58,1,1,1,6,523,-1,0,4,0
52,2,1,2,10,103,-1,0,4,0
50,2,1,1,1,146,147,4,3,0
32,3,0,1,6,356,-1,0,4,1
42,2,1,1,6,71,-1,0,4,0
31,2,1,1,2,189,-1,0,4,0
28,2,1,3,9,251,-1,0,4,0
36,1,0,1,6,127,-1,0,4,0
51,3,0,2,4,197,-1,0,4,0
46,2,1,1,9,84,-1,0,4,0
50,3,0,3,9,141,-1,0,4,0
32,2,1,3,7,171,-1,0,4,0
26,3,0,1,6,262,-1,0,4,0
41,2,0,1,2,352,-1,0,4,1
39,2,1,1,1,236,336,1,1,0
31,2,1,3,7,184,-1,0,4,0
28,3,1,1,6,568,-1,0,4,0
31,3,0,1,2,105,-1,0,4,0
30,2,1,1,9,260,-1,0,4,0
35,2,0,1,2,222,182,4,3,1
33,2,1,3,7,447,-1,0,4,0
30,3,1,1,2,239,-1,0,4,0
32,3,1,1,9,426,-1,0,4,0
40,3,0,1,9,333,58,3,1,0
31,2,0,1,4,174,-1,0,4,0
36,2,1,3,9,284,-1,0,4,0
33,3,1,1,9,428,-1,0,4,0
57,2,1,1,6,236,-1,0,4,0
45,2,0,1,2,150,-1,0,4,0
59,2,0,1,3,237,206,2,1,0
30,3,1,1,6,1031,-1,0,4,1
33,2,0,1,10,107,105,3,1,0
52,2,1,3,9,45,-1,0,4,0
83,2,0,1,8,140,-1,0,4,0
58,1,0,3,7,700,-1,0,4,1
33,1,0,1,10,155,-1,0,4,0
41,1,1,3,7,211,-1,0,4,0
31,2,0,1,2,165,-1,0,4,0
35,1,0,1,6,144,-1,0,4,0
27,3,1,3,7,590,-1,0,4,1
57,1,0,3,7,43,-1,0,4,0
56,2,0,3,7,471,-1,0,4,0
53,3,1,3,9,295,-1,0,4,0
39,2,1,3,7,526,-1,0,4,1
32,3,1,1,2,27,-1,0,4,0
46,2,0,1,2,1181,-1,0,4,1
56,2,0,1,2,103,-1,0,4,0
46,1,1,2,10,249,112,2,1,0
29,2,1,1,9,231,-1,0,4,0
60,2,1,1,1,123,147,3,1,0
33,3,1,1,1,199,146,2,1,0
27,3,0,1,4,197,199,3,1,0
50,1,1,3,9,67,-1,0,4,0
45,2,0,1,6,220,-1,0,4,0
58,2,0,1,2,122,-1,0,4,0
59,2,1,3,9,104,-1,0,4,0
58,1,1,1,6,307,-1,0,4,0
64,2,0,1,8,117,91,1,3,0
47,2,0,1,9,253,342,1,3,0
40,2,1,1,6,770,-1,0,4,0
36,1,1,1,1,190,133,1,2,0
28,3,1,1,6,767,-1,0,4,1
38,3,1,1,7,232,-1,0,4,1
53,2,1,1,10,854,170,3,2,0
46,3,1,3,9,293,-1,0,4,0
54,2,0,2,10,986,94,8,1,0
32,2,0,1,10,66,-1,0,4,0
55,2,0,1,4,114,208,1,1,0
55,1,0,1,6,205,-1,0,4,0
